DateKey,FullDate,DayName,DayNumber,MonthName,MonthNumber,QuarterNumber,Year
20050920,9/20/2005,Tuesday,3,September,9,3,2005
20050921,9/21/2005,Wednesday,4,September,9,3,2005
20050922,9/22/2005,Thursday,5,September,9,3,2005
20050923,9/23/2005,Friday,6,September,9,3,2005
20050924,9/24/2005,Saturday,7,September,9,3,2005
20050925,9/25/2005,Sunday,1,September,9,3,2005
20050926,9/26/2005,Monday,2,September,9,3,2005
20050927,9/27/2005,Tuesday,3,September,9,3,2005
20050928,9/28/2005,Wednesday,4,September,9,3,2005
20050929,9/29/2005,Thursday,5,September,9,3,2005
20050930,9/30/2005,Friday,6,September,9,3,2005
20051001,10/1/2005,Saturday,7,October,10,4,2005
20051002,10/2/2005,Sunday,1,October,10,4,2005
20051003,10/3/2005,Monday,2,October,10,4,2005
20051004,10/4/2005,Tuesday,3,October,10,4,2005
20051005,10/5/2005,Wednesday,4,October,10,4,2005
20051006,10/6/2005,Thursday,5,October,10,4,2005
20051007,10/7/2005,Friday,6,October,10,4,2005
20051008,10/8/2005,Saturday,7,October,10,4,2005
20051009,10/9/2005,Sunday,1,October,10,4,2005
20051010,10/10/2005,Monday,2,October,10,4,2005
20051011,10/11/2005,Tuesday,3,October,10,4,2005
20051012,10/12/2005,Wednesday,4,October,10,4,2005
20051013,10/13/2005,Thursday,5,October,10,4,2005
20051014,10/14/2005,Friday,6,October,10,4,2005
20051015,10/15/2005,Saturday,7,October,10,4,2005
20051016,10/16/2005,Sunday,1,October,10,4,2005
20051017,10/17/2005,Monday,2,October,10,4,2005
20051018,10/18/2005,Tuesday,3,October,10,4,2005
20051019,10/19/2005,Wednesday,4,October,10,4,2005
20051020,10/20/2005,Thursday,5,October,10,4,2005
20051021,10/21/2005,Friday,6,October,10,4,2005
20051022,10/22/2005,Saturday,7,October,10,4,2005
20051023,10/23/2005,Sunday,1,October,10,4,2005
20051024,10/24/2005,Monday,2,October,10,4,2005
20051025,10/25/2005,Tuesday,3,October,10,4,2005
20051026,10/26/2005,Wednesday,4,October,10,4,2005
20051027,10/27/2005,Thursday,5,October,10,4,2005
20051028,10/28/2005,Friday,6,October,10,4,2005
20051029,10/29/2005,Saturday,7,October,10,4,2005
20051030,10/30/2005,Sunday,1,October,10,4,2005
20051031,10/31/2005,Monday,2,October,10,4,2005
20051101,11/1/2005,Tuesday,3,November,11,4,2005
20051102,11/2/2005,Wednesday,4,November,11,4,2005
20051103,11/3/2005,Thursday,5,November,11,4,2005
20051104,11/4/2005,Friday,6,November,11,4,2005
20051105,11/5/2005,Saturday,7,November,11,4,2005
20051106,11/6/2005,Sunday,1,November,11,4,2005
20051107,11/7/2005,Monday,2,November,11,4,2005
20051108,11/8/2005,Tuesday,3,November,11,4,2005
20051109,11/9/2005,Wednesday,4,November,11,4,2005
20051110,11/10/2005,Thursday,5,November,11,4,2005
20051111,11/11/2005,Friday,6,November,11,4,2005
20051112,11/12/2005,Saturday,7,November,11,4,2005
20051113,11/13/2005,Sunday,1,November,11,4,2005
20051114,11/14/2005,Monday,2,November,11,4,2005
20051115,11/15/2005,Tuesday,3,November,11,4,2005
20051116,11/16/2005,Wednesday,4,November,11,4,2005
20051117,11/17/2005,Thursday,5,November,11,4,2005
20051118,11/18/2005,Friday,6,November,11,4,2005
20051119,11/19/2005,Saturday,7,November,11,4,2005
20051120,11/20/2005,Sunday,1,November,11,4,2005
20051121,11/21/2005,Monday,2,November,11,4,2005
20051122,11/22/2005,Tuesday,3,November,11,4,2005
20051123,11/23/2005,Wednesday,4,November,11,4,2005
20051124,11/24/2005,Thursday,5,November,11,4,2005
20051125,11/25/2005,Friday,6,November,11,4,2005
20051126,11/26/2005,Saturday,7,November,11,4,2005
20051127,11/27/2005,Sunday,1,November,11,4,2005
20051128,11/28/2005,Monday,2,November,11,4,2005
20051129,11/29/2005,Tuesday,3,November,11,4,2005
20051130,11/30/2005,Wednesday,4,November,11,4,2005
20051201,12/1/2005,Thursday,5,December,12,4,2005
20051202,12/2/2005,Friday,6,December,12,4,2005
20051203,12/3/2005,Saturday,7,December,12,4,2005
20051204,12/4/2005,Sunday,1,December,12,4,2005
20051205,12/5/2005,Monday,2,December,12,4,2005
20051206,12/6/2005,Tuesday,3,December,12,4,2005
20051207,12/7/2005,Wednesday,4,December,12,4,2005
20051208,12/8/2005,Thursday,5,December,12,4,2005
20051209,12/9/2005,Friday,6,December,12,4,2005
20051210,12/10/2005,Saturday,7,December,12,4,2005
20051211,12/11/2005,Sunday,1,December,12,4,2005
20051212,12/12/2005,Monday,2,December,12,4,2005
20051213,12/13/2005,Tuesday,3,December,12,4,2005
20051214,12/14/2005,Wednesday,4,December,12,4,2005
20051215,12/15/2005,Thursday,5,December,12,4,2005
20051216,12/16/2005,Friday,6,December,12,4,2005
20051217,12/17/2005,Saturday,7,December,12,4,2005
20051218,12/18/2005,Sunday,1,December,12,4,2005
20051219,12/19/2005,Monday,2,December,12,4,2005
20051220,12/20/2005,Tuesday,3,December,12,4,2005
20051221,12/21/2005,Wednesday,4,December,12,4,2005
20051222,12/22/2005,Thursday,5,December,12,4,2005
20051223,12/23/2005,Friday,6,December,12,4,2005
20051224,12/24/2005,Saturday,7,December,12,4,2005
20051225,12/25/2005,Sunday,1,December,12,4,2005
20051226,12/26/2005,Monday,2,December,12,4,2005
20051227,12/27/2005,Tuesday,3,December,12,4,2005
20051228,12/28/2005,Wednesday,4,December,12,4,2005
20051229,12/29/2005,Thursday,5,December,12,4,2005
20051230,12/30/2005,Friday,6,December,12,4,2005
20051231,12/31/2005,Saturday,7,December,12,4,2005
20060101,1/1/2006,Sunday,1,January,1,1,2006
20060102,1/2/2006,Monday,2,January,1,1,2006
20060103,1/3/2006,Tuesday,3,January,1,1,2006
20060104,1/4/2006,Wednesday,4,January,1,1,2006
20060105,1/5/2006,Thursday,5,January,1,1,2006
20060106,1/6/2006,Friday,6,January,1,1,2006
20060107,1/7/2006,Saturday,7,January,1,1,2006
20060108,1/8/2006,Sunday,1,January,1,1,2006
20060109,1/9/2006,Monday,2,January,1,1,2006
20060110,1/10/2006,Tuesday,3,January,1,1,2006
20060111,1/11/2006,Wednesday,4,January,1,1,2006
20060112,1/12/2006,Thursday,5,January,1,1,2006
20060113,1/13/2006,Friday,6,January,1,1,2006
20060114,1/14/2006,Saturday,7,January,1,1,2006
20060115,1/15/2006,Sunday,1,January,1,1,2006
20060116,1/16/2006,Monday,2,January,1,1,2006
20060117,1/17/2006,Tuesday,3,January,1,1,2006
20060118,1/18/2006,Wednesday,4,January,1,1,2006
20060119,1/19/2006,Thursday,5,January,1,1,2006
20060120,1/20/2006,Friday,6,January,1,1,2006
20060121,1/21/2006,Saturday,7,January,1,1,2006
20060122,1/22/2006,Sunday,1,January,1,1,2006
20060123,1/23/2006,Monday,2,January,1,1,2006
20060124,1/24/2006,Tuesday,3,January,1,1,2006
20060125,1/25/2006,Wednesday,4,January,1,1,2006
20060126,1/26/2006,Thursday,5,January,1,1,2006
20060127,1/27/2006,Friday,6,January,1,1,2006
